,0
0,672
1,483
2,6776
3,1489
4,1875
5,6453
6,600
7,1698
8,1867
9,5828
10,5860
11,1020
12,1674
13,518
14,6459
15,1935
16,3387
17,1670
18,6333
19,3514
20,6113
21,476
22,2406
23,786
24,5521
25,3755
26,4656
27,2503
28,5593
29,3633
30,5817
31,6579
32,558
33,264
34,2539
35,5301
36,5139
37,4799
38,4643
39,6685
40,3983
41,2983
42,1962
43,2227
44,1553
45,6064
46,4287
47,5938
48,1470
49,1702
50,5789
51,1895
52,5045
53,4950
54,3753
55,3218
56,1822
57,3361
58,1619
59,4635
60,2864
61,0
62,3125
63,5531
64,2083
65,3433
66,57
67,6990
68,3659
69,205
70,13
71,2142
72,6733
73,160
74,1059
75,3834
76,4689
77,6379
78,6123
79,1295
80,4661
81,2896
82,4325
83,6289
84,3551
85,3045
86,6850
87,4105
88,4474
89,5726
90,3174
91,6025
92,3113
93,281
94,3194
95,516
96,647
97,5234
98,2430
99,4615
100,6054
101,1141
102,4254
103,3324
104,111
105,3247
106,6026
107,1146
108,6681
109,4373
110,6907
111,1514
112,2169
113,2413
114,648
115,2502
116,4521
117,2696
118,4303
119,1730
120,1566
121,6458
122,2835
123,5564
124,4893
125,465
126,1483
127,587
128,6588
129,816
130,5699
131,537
132,5194
133,2549
134,2264
135,2397
136,5245
137,1370
138,4709
139,4107
140,509
141,4455
142,1449
143,1845
144,6956
145,5606
146,3625
147,4761
148,4972
149,2288
150,5063
151,3646
152,3827
153,4299
154,671
155,4377
156,6799
157,4237
158,66
159,5577
160,6709
161,6552
162,6122
163,122
164,1848
165,549
166,621
167,2938
168,4901
169,392
170,3148
171,3371
172,86
173,2807
174,4764
175,3275
176,560
177,3600
178,508
179,4464
180,3292
181,6616
182,3855
183,3828
184,2746
185,4583
186,1779
187,876
188,1594
189,1963
190,4677
191,6278
192,3670
193,3262
194,6036
195,4695
196,5442
197,1887
198,5418
199,3921
200,1976
201,402
202,5220
203,6928
204,6783
205,6562
206,39
207,4628
208,6079
209,4612
210,4233
211,6551
212,89
213,3121
214,2358
215,5156
216,185
217,4013
218,4955
219,3067
220,4513
221,3119
222,4324
223,4103
224,2193
225,4148
226,6319
227,629
228,3282
229,5031
230,1128
231,6561
232,1526
233,3490
234,1460
235,1384
236,393
237,2907
238,2614
239,2068
240,244
241,3377
242,6634
243,2903
244,3228
245,2082
246,309
247,6262
248,2777
249,1467
250,964
251,769
252,4855
253,2906
254,6793
255,4859
256,3506
257,4098
258,4605
259,3027
260,1907
261,4707
262,2297
263,1169
264,3920
265,3574
266,4682
267,6229
268,92
